Image,Number,Type,Cell,Row,Label,Area,Mean Grey,Mode Grey,Min Grey,Max Grey,IntDen,RawIntDen,Channel,Stack
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,1,0.095,2442,395,395,5459,231.768,126984,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,2,0.095,3047.942,612,612,5740,289.278,158493,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,3,0.095,3130.904,3918,829,5706,297.152,162807,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,4,0.095,3315.75,1505,1505,5209,314.695,172419,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,5,0.095,3905.942,922,922,8089,370.71,203109,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,6,0.095,5610.327,1820,1820,9927,532.472,291737,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,7,0.095,3700.385,664,664,7228,351.201,192420,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,8,0.095,5566.769,854,854,9366,528.338,289472,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,9,0.095,3898.327,908,908,6571,369.987,202713,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,10,0.095,6651.596,2349,2349,11417,631.298,345883,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,11,0.095,4914.173,1521,1521,8440,466.401,255537,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,12,0.095,6310.558,1478,1478,13792,598.93,328149,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,13,0.095,3981.154,1068,1068,7882,377.848,207020,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,14,0.095,4299.5,2364,966,9731,408.062,223574,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,15,0.095,5527.346,1651,1651,11030,524.596,287422,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,16,0.095,4187.077,2627,1624,7712,397.392,217728,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,17,0.095,3284.712,975,975,6126,311.75,170805,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,18,0.095,2660.5,1214,1214,4742,252.506,138346,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,19,0.095,3567.519,1959,1959,6320,338.591,185511,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,20,0.095,3240.731,1867,1867,4920,307.575,168518,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,21,0.095,3522.115,1878,1878,6038,334.281,183150,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,22,0.095,4367.038,2081,2081,7379,414.472,227086,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,23,0.095,4477.981,2023,2023,7912,425.002,232855,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,24,0.095,3459.769,4091,1178,6142,328.364,179908,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,25,0.095,3559.75,2823,1692,5367,337.853,185107,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,26,0.095,3138.577,1390,1390,5229,297.88,163206,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,27,0.095,4641.096,2513,2257,7754,440.483,241337,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,28,0.095,5734.981,1792,1792,11204,544.303,298219,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,29,0.095,3590.192,2800,1619,7061,340.742,186690,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,30,0.095,3588.692,1106,1106,8000,340.6,186612,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,31,0.095,2852.981,1158,1158,4616,270.774,148355,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,1,0.095,2557.731,718,718,4629,242.752,133002,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,2,0.095,4013.231,1474,1474,9159,380.893,208688,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,3,0.095,4120.038,1177,1177,7086,391.03,214242,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,4,0.095,4067.346,1642,1642,7121,386.029,211502,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,5,0.095,3900.115,1142,1142,8237,370.157,202806,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,6,0.095,4956.135,1670,1670,8776,470.383,257719,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,7,0.095,5112.596,2699,1888,8069,485.233,265855,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,8,0.095,5098.538,1761,1761,8193,483.899,265124,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,9,0.095,7510.923,2766,2766,11988,712.856,390568,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,10,0.095,5493.865,3418,2062,10989,521.419,285681,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,11,0.095,5030.692,5637,1989,10084,477.459,261596,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,12,0.095,4909.538,1873,1873,8430,465.961,255296,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,13,0.095,5492.865,1767,1767,12023,521.324,285629,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,14,0.095,3307.115,1242,1242,6977,313.876,171970,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,15,0.095,2609.692,998,998,5243,247.684,135704,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,16,0.095,4665.558,1142,1142,10881,442.805,242609,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,1,17,0.095,3713.365,1738,1264,7312,352.433,193095,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,18,0.095,3629.615,2670,2154,5504,344.484,188740,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,19,0.095,2736.442,1463,1463,4738,259.714,142295,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,20,0.095,2553.538,1411,1411,4501,242.354,132784,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,21,0.095,2573.404,1433,1433,4350,244.24,133817,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,22,0.095,3668.212,2106,2106,5749,348.147,190747,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,23,0.095,2503.038,1428,961,4199,237.562,130158,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,24,0.095,3564.231,5069,1555,5541,338.279,185340,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,25,0.095,4867.346,4485,3085,6622,461.956,253102,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,26,0.095,4708.654,6884,2251,7630,446.895,244850,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,27,0.095,3922.865,2247,2247,6444,372.316,203989,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,28,0.095,3923.827,1704,1704,7175,372.408,204039,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,29,0.095,3799.115,1685,1685,6924,360.571,197554,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,30,0.095,3239.481,1389,1389,5902,307.457,168453,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,2,2,31,0.095,3371.212,1619,1403,5600,319.959,175303,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,1,0.095,3929.654,1313,1313,8057,372.961,204342,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,2,0.095,3283.981,3523,1084,6216,311.68,170767,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,3,0.095,4358.308,1086,1086,8709,413.644,226632,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,4,0.095,3762.827,1993,1659,6137,357.127,195667,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,5,0.095,4067.019,1110,1110,8210,385.998,211485,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,6,0.095,5889.596,1809,1809,10599,558.977,306259,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,7,0.095,7885.558,2046,2046,13551,748.412,410049,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,8,0.095,6056.173,2105,2105,10634,574.787,314921,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,9,0.095,4467.615,2157,2157,7448,424.018,232316,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,10,0.095,5886.288,2216,2216,10880,558.663,306087,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,11,0.095,4895.962,1574,1574,10466,464.672,254590,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,1,12,0.095,5475.769,2146,2146,10914,519.701,284740,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,13,0.095,3645.462,2028,2028,6384,345.988,189564,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,14,0.095,2061.25,2049,1098,3291,195.632,107185,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,15,0.095,2752.154,1320,1320,4224,261.205,143112,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,16,0.095,4241.096,2172,2172,6784,402.519,220537,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,17,0.095,3437.962,1577,1577,5790,326.294,178774,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,18,0.095,5153.75,2376,2376,9032,489.139,267995,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,19,0.095,3053.615,1267,1267,4751,289.816,158788,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,20,0.095,3949.346,2028,2028,6289,374.83,205366,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,21,0.095,3112.269,2705,1864,4894,295.383,161838,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,3,2,22,0.095,3957.192,3107,1911,6792,375.574,205774,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,1,0.095,5548.481,3032,2334,10683,526.602,288521,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,2,0.095,7189.154,2088,2088,13200,682.317,373836,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,3,0.095,4616.442,2290,2290,7147,438.143,240055,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,4,0.095,6385.365,2565,2565,11251,606.03,332039,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,5,0.095,6845.615,2732,2732,11524,649.712,355972,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,6,0.095,5221.827,2129,2129,8204,495.6,271535,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,7,0.095,6455.712,1992,1992,11764,612.707,335697,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,8,0.095,7079.462,2902,2902,10184,671.906,368132,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,9,0.095,5742.288,2618,2618,10477,544.996,298599,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,10,0.095,4373.154,1892,1892,8301,415.053,227404,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,11,0.095,5613.269,1812,1812,11507,532.751,291890,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,12,0.095,4292.808,2052,1614,8047,407.427,223226,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,13,0.095,6910.538,2319,2319,13252,655.874,359348,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,14,0.095,5754.962,3459,2133,11391,546.199,299258,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,15,0.095,6345.962,2196,2196,13164,602.291,329990,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,1,16,0.095,5233.942,2260,2260,10012,496.75,272165,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,17,0.095,4951.769,4491,2014,8903,469.969,257492,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,18,0.095,6747.231,2392,2392,13188,640.375,350856,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,19,0.095,4528.058,1659,1659,8788,429.755,235459,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,20,0.095,6826.846,2915,2915,11279,647.931,354996,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,21,0.095,4400.231,3593,2618,6361,417.623,228812,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,22,0.095,7452.077,2394,2394,12051,707.271,387508,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,23,0.095,6810,2942,2942,11116,646.332,354120,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,24,0.095,3116.519,1601,1601,5403,295.787,162059,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,25,0.095,4800.346,2697,2697,7919,455.597,249618,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,26,0.095,3273.288,1724,1724,5969,310.665,170211,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,27,0.095,4877.865,1512,1512,9727,462.955,253649,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,28,0.095,3372.904,1637,1637,5399,320.12,175391,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,29,0.095,4951.173,2154,2154,9516,469.912,257461,2,5
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,30,0.095,4538.192,1710,1710,7790,430.716,235986,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,4,2,31,0.095,3010.942,2683,1490,4537,285.766,156569,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,1,0.095,3245.75,1043,1043,7010,308.052,168779,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,2,0.095,5783.058,1591,1591,12181,548.866,300719,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,3,0.095,5636.365,1867,1867,11369,534.943,293091,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,4,0.095,4676.962,2003,2003,8741,443.887,243202,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,5,0.095,5966.346,2346,2346,9960,566.262,310250,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,6,0.095,6263.692,2303,2303,11531,594.482,325712,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,7,0.095,6199.577,2349,2349,11236,588.397,322378,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,8,0.095,5143.423,1862,1862,9222,488.158,267458,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,9,0.095,5635.788,2740,2740,10230,534.889,293061,2,15
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,10,0.095,5095.442,1192,1192,10011,483.605,264963,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,11,0.095,5940.808,3169,3169,10554,563.838,308922,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,12,0.095,6129.5,1838,1838,11612,581.746,318734,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,1,13,0.095,4418.135,2691,1514,7929,419.322,229743,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,14,0.095,4883.058,1923,1923,10886,463.447,253919,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,15,0.095,4415.827,1484,1484,8316,419.103,229623,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,16,0.095,2210.442,1305,1305,3216,209.791,114943,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,17,0.095,6049,3636,2473,10670,574.106,314548,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,18,0.095,5252.808,2444,2444,8692,498.54,273146,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,19,0.095,3551.423,1714,1714,5394,337.063,184674,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,20,0.095,5583.923,2044,2044,10641,529.966,290364,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,21,0.095,4013.327,2780,1828,6063,380.902,208693,2,14
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,22,0.095,4773.346,2002,2002,8062,453.035,248214,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,23,0.095,4707.308,2218,2218,7681,446.767,244780,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,24,0.095,4681.558,2190,2190,8122,444.323,243441,2,13
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,25,0.095,4152.827,1421,1421,7998,394.142,215947,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,5,2,26,0.095,3213.596,4359,1548,6331,305,167107,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,1,0.095,1837.269,607,607,2774,174.374,95538,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,2,0.095,2080.558,973,973,3643,197.464,108189,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,3,0.095,3631.962,1771,1771,6479,344.707,188862,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,4,0.095,4944.635,2144,2144,8368,469.292,257121,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,5,0.095,3734.481,3202,1403,6263,354.437,194193,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,6,0.095,3944.731,1561,1561,6374,374.391,205126,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,7,0.095,6553.038,2489,2489,11355,621.944,340758,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,8,0.095,6973.538,3886,3886,9792,661.853,362624,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,9,0.095,4389.096,1443,1443,7628,416.566,228233,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,10,0.095,4858.385,1874,1874,7797,461.106,252636,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,11,0.095,5404.442,1722,1722,9664,512.932,281031,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,12,0.095,3424.135,1636,1636,5563,324.982,178055,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,13,0.095,4760.058,1640,1640,8818,451.774,247523,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,1,14,0.095,5400.808,2297,2297,9855,512.587,280842,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,15,0.095,3996.173,2652,2283,6938,379.274,207801,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,16,0.095,3144.827,2054,2054,4924,298.473,163531,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,17,0.095,3309.712,2300,2042,4797,314.122,172105,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,18,0.095,3320.462,2060,2060,4787,315.143,172664,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,19,0.095,3693.423,4819,2265,5814,350.54,192058,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,20,0.095,5090,2680,2680,7979,483.088,264680,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,21,0.095,6511.615,3357,3357,9686,618.013,338604,2,6
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,22,0.095,4837.558,3163,3163,6884,459.129,251553,2,7
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-4 good/Series003 Lng,1,KO,6,2,23,0.095,4016.615,2251,2251,5830,381.214,208864,2,7
